2018-07-18 15:52:40,748 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/com/github/miemiedev/mybatis-paginator/1.2.15/mybatis-paginator-1.2.15.pom
2018-07-18 15:52:40,776 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis/3.1.0/mybatis-3.1.0.pom
2018-07-18 15:52:40,776 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis/3.1.0/mybatis-3.1.0.pom
2018-07-18 15:52:40,788 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis/3.1.0/mybatis-3.1.0.pom
2018-07-18 15:52:40,789 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis/3.1.0/mybatis-3.1.0.pom
2018-07-18 15:52:40,798 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis-parent/14/mybatis-parent-14.pom
2018-07-18 15:52:40,799 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis-parent/14/mybatis-parent-14.pom
2018-07-18 15:52:40,808 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis-parent/14/mybatis-parent-14.pom
2018-07-18 15:52:40,809 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/mybatis/mybatis-parent/14/mybatis-parent-14.pom
2018-07-18 15:52:40,819 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/slf4j/slf4j-api/1.7.2/slf4j-api-1.7.2.pom
2018-07-18 15:52:40,822 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/slf4j/slf4j-api/1.7.2/slf4j-api-1.7.2.pom
2018-07-18 15:52:40,830 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/slf4j/slf4j-api/1.7.2/slf4j-api-1.7.2.pom
2018-07-18 15:52:40,832 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/slf4j/slf4j-api/1.7.2/slf4j-api-1.7.2.pom
